Title,Download Link
ByteHouse: A Cloud-Native OLAP Engine with Incremental Computation and Multi-Modal Retrieval,https://arxiv.org/pdf/2602.08226v1
FusionANNS: An Efficient CPU/GPU Cooperative Processing Architecture for Billion-scale Approximate Nearest Neighbor Search,https://arxiv.org/pdf/2409.16576v1
Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,https://arxiv.org/pdf/2104.05158v7
Creative Ownership in the Age of AI,https://arxiv.org/pdf/2602.12270v1
CM2: Reinforcement Learning with Checklist Rewards for Multi-Turn and Multi-Step Agentic Tool Use,https://arxiv.org/pdf/2602.12268v1
Automated Test Suite Enhancement Using Large Language Models with Few-shot Prompting,https://arxiv.org/pdf/2602.12256v1
A technical curriculum on language-oriented artificial intelligence in translation and specialised communication,https://arxiv.org/pdf/2602.12251v1
"VIRENA: Virtual Arena for Research, Education, and Democratic Innovation",https://arxiv.org/pdf/2602.12207v1
Visual Reasoning Benchmark: Evaluating Multimodal LLMs on Classroom-Authentic Visual Problems from Primary Education,https://arxiv.org/pdf/2602.12196v1
SAGEO Arena: A Realistic Environment for Evaluating Search-Augmented Generative Engine Optimization,https://arxiv.org/pdf/2602.12187v1
Pedagogically-Inspired Data Synthesis for Language Model Knowledge Distillation,https://arxiv.org/pdf/2602.12172v1
On the Adoption of AI Coding Agents in Open-source Android and iOS Development,https://arxiv.org/pdf/2602.12144v1
Embodied AI Agents for Team Collaboration in Co-located Blue-Collar Work,https://arxiv.org/pdf/2602.12136v1
Capability-Oriented Training Induced Alignment Risk,https://arxiv.org/pdf/2602.12124v1
KAN-FIF: Spline-Parameterized Lightweight Physics-based Tropical Cyclone Estimation on Meteorological Satellite,https://arxiv.org/pdf/2602.12117v1
The Pensieve Paradigm: Stateful Language Models Mastering Their Own Context,https://arxiv.org/pdf/2602.12108v1
DeepSight: An All-in-One LM Safety Toolkit,https://arxiv.org/pdf/2602.12092v1
"Choose Your Agent: Tradeoffs in Adopting AI Advisors, Coaches, and Delegates in Multi-Party Negotiation",https://arxiv.org/pdf/2602.12089v1
